operator_provider,error_code,error_name,description,category,stage,retry,portal_action,source,verification
Airtel,10,ESME_RINVSRCADR,Invalid source address / blank header,Header,SMPP/DLR,NO,Check Header/Sender ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,11,ESME_RINVDSTADR,Invalid destination address,Number,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,196,INVALID_OPTIONAL_PARAM,Invalid optional parameter value,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,20,QUEUE_FULL,Message queue full,Network,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,21,ESME_RINVSERTYP,Invalid source/service type or wrong traffic type,Route,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,24,TM_ID_ABSENT,TM ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,25,TEMPLATE_ID_ABSENT,Template ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,26,PE_ID_ABSENT,PE ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,27,MULTI_MISSING_PART,Required multipart tag absent,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,3,ESME_RINVCMDID,Invalid Command ID,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,611,INVALID_ENTITY_ID,Invalid Entity/Header ID,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,612,INVALID_CLI,Invalid CLI,Header,SMPP/DLR,NO,Check Header/Sender ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,613,INVALID_TEMPLATE_ID,Invalid Template ID,Template,SMPP/DLR,NO,Check Template ID/content,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,614,CLI_TEMPLATE_MISMATCH,CLI mismatch with template,Template,SMPP/DLR,NO,Check Template ID/content,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,615,TEMPLATE_HEADER_INVALID,Template or Header invalid,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,616,INVALID_CATEGORY,Invalid category,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,666,CONTENT_MISMATCH,SMS content mismatch,Template,SMPP/DLR,NO,Check Template ID/content,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,677,INVALID_TM_ID,Invalid Telemarketer ID,Telemarketer,SMPP/DLR,NO,Check TM ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,69,SHORTMSG_PAYLOAD_CONFLICT,Both short message and payload supplied,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,70,TM_ID_MISMATCH,TM ID mismatch / external ID issue,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,8,DLT_ERROR,DLT unavailable/error or connection timeout,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,801,ENTITY_BLACKLISTED,Entity blacklisted,Entity,SMPP/DLR,NO,Check Entity/PE ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,802,ENTITY_INACTIVE,Entity inactive/not registered,Entity,SMPP/DLR,NO,Check Entity/PE ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,803,HEADER_BLACKLISTED,Header blacklisted,Header,SMPP/DLR,NO,Check Header/Sender ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,804,HEADER_INACTIVE,Header inactive/not registered,Header,SMPP/DLR,NO,Check Header/Sender ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9003,INVALID_COMMAND_ID,Invalid command ID,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9008,DLT_TIMEOUT,DLT/ABMS connection timeout,Network,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9010,INVALID_SOURCE,Invalid source/CLI,Address,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9011,INVALID_DESTINATION,Invalid destination address,Address,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9014,INVALID_TM_USERNAME,Invalid TM username,Authentication,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9015,INVALID_TM_PASSWORD,Invalid TM password,Authentication,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9016,JMS_QUEUE_ERROR,JMS queue error,System,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9018,GOV_HEADER_ERROR,Government header lookup/account error,Government Header,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9019,GOV_HEADER_ACCOUNT_ERROR,Government header/account type error,Government Header,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9020,QUEUE_FULL,Message queue full,Network,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9021,INVALID_SERVICE_TYPE,Invalid service type/traffic type,Route,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9022,SHORTMSG_PAYLOAD_CONFLICT,Message present in both fields,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9024,TM_ID_ABSENT,TM ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9025,TEMPLATE_ID_ABSENT,Template ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9026,PE_ID_ABSENT,PE ID tag absent,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9027,MULTI_MISSING_PART,Multipart tag absent,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9030,INVALID_TM_ID,Invalid TM external ID/TM ID,Telemarketer,SMPP/DLR,NO,Check TM ID,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9069,INVALID_DATA_CODING,Invalid data coding,SMPP,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9088,THROTTLED,Traffic rate exceeded,Throttling,SMPP/DLR,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Airtel,9196,INVALID_OPTIONAL_PARAM,Invalid optional parameter/TM ID,DLT,SMPP/DLR,PROVIDER-DEPENDENT,Check DLT scrubbing/route,Airtel published DLT mapping,DOCUMENTED/PUBLIC
Jio,600,ENTITY_NOT_FOUND,No record found with Entity ID.,Entity,DLR/Submit,NO,Check Entity/PE ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,601,ENTITY_NOT_REGISTERED,Entity is not registered.,Entity,DLR/Submit,NO,Check Entity/PE ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,602,ENTITY_INACTIVE,Entity is inactive.,Entity,DLR/Submit,NO,Check Entity/PE ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,603,ENTITY_BLACKLISTED,Entity is blacklisted.,Entity,DLR/Submit,NO,Check Entity/PE ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,604,INVALID_ENTITY_ID,Invalid Entity ID.,Entity,DLR/Submit,NO,Check Entity/PE ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,605,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,606,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,607,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,608,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,609,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,610,TELEMARKETER_NOT_REGISTERED,Telemarketer is not registered.,Telemarketer,DLR/Submit,NO,Check TM ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,611,TELEMARKETER_INACTIVE,Telemarketer is inactive.,Telemarketer,DLR/Submit,NO,Check TM ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,612,TELEMARKETER_BLACKLISTED,Telemarketer is blacklisted.,Telemarketer,DLR/Submit,NO,Check TM ID,Common DLT mapping,VERIFY WITH OPERATOR
Jio,613,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,614,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,615,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,616,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
Jio,617,RESERVED / NOT PUBLICLY MAPPED,"Numeric code exists in the DLT family, but a specific public meaning was not verified.",Reserved,DLT,PROVIDER-DEPENDENT,Check SMPP/session/network and provider logs,Common DLT family,NOT VERIFIED
