ErrorCode,Description
20A,Bearer Service Not Supported
20b,Tele Service Not Provisioned
20c,Error Equipment
20d,Call Barred
20E,Error Forward Violation
20F,Error CUG Reject
21A,Subsequent Handover Failure
21b,Absent Subscriber for MT
21C,Incompatible Terminal
21D,Short Term Denial
21E,Long Term Denial
21f,Subscriber Busy for MT
22C,Number of PW attempts Violation
22D,Busy Subscriber
22E,No Reply from Subscriber
22F,Forwarding Failed
23A,Unknown or Unreachable LCS Client
40a,Stack/Sig Error Map Provider Malfunction
40B,Stack/Sig Error Map Unrecognised Transaction ID
40C,Stack/Sig Error Dialog Resource Limitation
40D,Stack/Sig Error Map Maintenance Activity
40E,Stack/Sig Error Map Version Incompatibility
40F,Stack/Sig Error Abnormal Map Dialogue
41A,Sig Error MAP guard timer expired
41B,Sig Error MAP SPCAUSE mask
41c,Sig Error MAP No translation Based Address
41d,Sig Error MAP No translation specific address
41E,Stack/Sig Application Context Not Supported
41F,Stack/Sig DlG Invalid Destination Reference
42a,Sig Error MAP unequipped user
42b,Sig Error MAP network failure
42c,Sig Error MAP network congestion
42d,Sig Error MAP unqualified
42E,Sig Error MAP HOP Counter violation ANS92
42F,Sig Error MAP Error in message transport CCIT92
0,NORMAL DELIVERED
1,Subscriber not found
2,Base station not found
3,DND validation failed
4,Mobile Equipment Error
5,Subscriber could not be identified
6,Subscriber is unavailable
7,Mobile device is not recognized
8,Message submission timed out
9,Unsupported number format
10,Required mobile service is not enabled
11,SMS service is not enabled for the subscriber
12,Mobile device is not authorized
13,Subscriber is barred from this service
14,Message sender is not authorized
15,Message blocked by network screening
18,Delivery report request expired
19,Originating location mismatch
20,Service request could not be reserved
21,Subscription not found
22,Device memory is full
23,Subscriber not found
24,Service is barred for this subscriber
25,Insufficient balance
26,'teleservice not supported'
27,Absent subscriber
29,'HLR:data error in route signal'
30,Subscriber network data is missing
31,Subscriber is busy
32,Message delivery failed
33,Subscriber message queue is full
34,Network system failure
35,Insufficient balance
36,EC_UNEXPECTED_DATA_VALUE
37,'Unmarked Subscriber'
38,'failure because the subscriber is busy'
39,'VMSC isolated'
40,Network is congested
41,Subscriber identity (IMSI) mismatch
42,'MS error'
43,Not Supported by equipment
44,Illegal equipment
45,Unspecified protocol error
46,Message type is not supported
47,DCS error
48,TPDU Not Supported
49,memory capacity exceeded
50,Unexpected message store error
51,Direct message delivery is disabled
53,Message sending limit exceeded
54,Delivery retries exhausted
60,Sender is blocked
61,Recipient is blocked
62,Message blocked due to a restricted keyword
63,Service centre address is blocked
64,Message quota exceeded
65,Message routing loop detected
66,Message encoding is not supported
67,Subscriber is disconnected
68,Country code is not allowed
69,Destination Flooding
70,No messaging provider is available
71,Messaging provider account is not connected
72,No route is configured for the messaging sub-account
74,Message rate limit exceeded
80,Delivery report is pending and will be retried
81,Subscriber location does not match the network record
82,Subscriber identity (IMSI) mismatch
83,Destination system did not respond
84,Subscriber identity (IMSI) could not be retrieved
85,Mobile device (IMEI) is unknown
86,Subscriber location is unknown
87,Messaging provider network error
88,Network fluctuation from far End Operator(Temporary Error)
89,INVALID PACKET AT SMSC LEVEL
90,USER-ABORT
91,PROVIDER-ABORT
92,MSC NUMBER MISSING
93,Equipment protocol error
94,Equipment not SM equipped
95,Unknown service centre
96,Service Centre congestion
97,INVALID SCHEDULE DELIVERY TIME
98,Subscriber not SC subscriber
99,Invalid SME address
100,Subscriber did not respond
1001,No Response from far Network
101,Subscriber phone is switched off
102,Sender ID is blocked
1024,EC_OR_appContextNotSupported
1025,EC_OR_invalidDestinationReference
1026,EC_OR_invalidOriginatingReference;
1027,EC_OR_encapsulatedAC_NotSupported
1028,EC_OR_transportProtectionNotAdequate
1029,EC_OR_noReasonGiven
103,Message route is not active
1030,EC_OR_potentialVersionIncompatibility
1031,EC_OR_remoteNodeNotReachable
104,No active route is configured for this account
105,Network protocol failure
106,Subscriber device did not respond in time
107,Subscriber is not registered on the network
108,Message route is blocked for this number series
109,Mobile number series is not configured
110,INVALID_DESTINATION_NUMBER
111,Entity not registered
112,Entity Inactive
113,TEMPLATE_CONTENT_MISMATCH
114,Invalid Telemarketer
115,CLI Mismatch with Template
1152,EC_NNR_noTranslationForAnAddressOfSuchNatur
1153,EC_NNR_noTranslationForThisSpecificAddress
1154,EC_NNR_subsystemCongestion
1155,EC_NNR_subsystemFailure
1156,EC_NNR_unequippedUser
1157,EC_NNR_MTPfailure
1158,EC_NNR_networkCongestion
1159,EC_NNR_unqualified
116,Header Inactive
1160,EC_NNR_errorInMessageTransportXUDT
1161,EC_NNR_errorInLocalProcessingXUDT
1162,EC_NNR_destinationCannotPerformReassemblyXUDT
1163,EC_NNR_SCCPfailure
1164,EC_NNR_hopCounterViolation
1165,EC_NNR_segmentationNotSupported
1166,EC_NNR_segmentationFailure
117,Header Blacklisted
118,Template not found
119,Template Inactive
120,Template not Matched
121,Template blacklisted
122,Invalid Consent
123,General Consent error
124,DLT Miscellaneous error
125,TEMPLATE_VARIABLE_EXCEEED
126,Invalid Template id
127,Header not found
128,Entity blacklisted
1281,EC_UA_userSpecificReason
1282,EC_UA_userResourceLimitation
1283,EC_UA_resourceUnavailable
1284,EC_UA_applicationProcedureCancellation
129,Entity not found
130,EC_OR_potentialVersionIncompatibility
131,EC_OR_remoteNodeNotReachable
132,Application Context not supported
133,Potential Version Incompatibility
134,Remote Node not reachable
135,Provider malfunction
136,Transaction Released
137,Resource Limitation
138,Maintenance Activity
139,Version Incompatibility
140,Abnormal Dialogue
141, Short Term resource Limitation
142, Long term resource limitation
143, Handover cancellation
144, Radio Channel Release
145, Call Release
146, Network path Release
147, Associated Procedure release
148, Tandem Dialog Release
149, Remote Operation Failure
150,Subscriber not found
151,Call or messaging service is barred
152,SMS service is not enabled for the subscriber
153,Subscriber is unavailable
1536,EC_PA_providerMalfunction
1537,EC_PA_supportingDialogOrTransactionRealeased
1538,EC_PA_ressourceLimitation
1539,EC_PA_maintenanceActivity
154,Requested service is not supported
1540,EC_PA_versionIncompatibility
1541,EC_PA_abnormalMapDialog
155,Network system failure
156,Subscriber device does not support this service
157,Network signaling failure
158,Device memory is full
159,Mobile subscriber is not reachable
160,Message transport error
161,Message processing failed locally
162,Destination could not process the complete message
163,Network signaling failure
164,Message routing limit exceeded
165,EC_NNR_segmentationNotSupported
166,EC_NNR_segmentationFailure
167,USSD platform Unknown error
168,DND Blocked
169,MAP-P-Abort: Provider reasons
170,MAP-P-Abort Provider reason: Malfunction
171,MAP-P-Abort Provider reason: Dialog Released
172,'waiting queue in destination subscriber table is full'
173,MAP-P-Abort Provider reason: Abnormal Dialog
174,MAP-P-Abort: Invalid PDU
175,MAP-Open: Out of MAP dialogs
176,Invalid Service code
177,Subscriber MSISDN Blacklisted
178,Subscriber IMSI Blacklisted
179,Invalid Originating Address with Length greater than 20 chars
1793,EC_NC_responseRejectedByPeer
1794,EC_NC_abnormalEventReceivedFromPeer
1795,EC_NC_messageCannotBeDeliveredToPeer
1796,EC_NC_providerOutOfInvoke
180,MAP-Open Refuse reason: Node Not Reached
181,'service barred'
182,'operation barred'
183,VLRBlackListed
184,VLRWhiteListed
185,MAP-Notice Problem: Message Cannot Be Delivered
186,BILNG_SystemError
187,MAP-Notice: Abnormal event detected by peer
188,MAP-U-Abort: Error
189,MAP-U-Abort User Reason: User Specific Reason
190,MAP-U-Abort: User resource limitation
191,MAP-U-Abort: Resource unavailable (short term)
192,Unexpected session release from Servers/3rd party APP
193,'unknServCent'
194,'sc_Congestion'
