operator,error_code,error_name,description,category,stage,source,verification,retry,portal_action
Jio,600,ENTITY_NOT_FOUND,No record found with Entity ID.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Jio,601,ENTITY_NOT_REGISTERED,Entity is not registered.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Jio,602,ENTITY_INACTIVE,Entity is inactive.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Jio,603,ENTITY_BLACKLISTED,Entity is blacklisted.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Jio,604,INVALID_ENTITY_ID,Invalid Entity ID.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Jio,610,TELEMARKETER_NOT_REGISTERED,Telemarketer is not registered.,Telemarketer,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check TM ID
Jio,611,TELEMARKETER_INACTIVE,Telemarketer is inactive.,Telemarketer,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check TM ID
Jio,612,TELEMARKETER_BLACKLISTED,Telemarketer is blacklisted.,Telemarketer,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check TM ID
Jio,620,HEADER_NOT_FOUND,Header not found.,Header,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Header/Sender ID
Jio,621,HEADER_INACTIVE,Header is inactive.,Header,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Header/Sender ID
Jio,622,HEADER_BLACKLISTED,Header is blacklisted.,Header,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Header/Sender ID
Jio,623,PEID_NOT_MATCHED_WITH_HEADER,PE ID does not match Header ID.,Header,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Header/Sender ID
Jio,630,TEMPLATE_NOT_FOUND,Template not found.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,631,TEMPLATE_INACTIVE,Template is inactive.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,632,TEMPLATE_BLACKLISTED,Template is blacklisted.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,633,TEMPLATE_NOT_MATCHED,Template/content does not match.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,634,HEADER_NOT_REGISTERED_FOR_TEMPLATE,Header is not registered for template.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,635,TEMPLATE_VARIABLE_LENGTH_EXCEEDED,Template variable exceeded maximum length.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,636,ERROR_IDENTIFYING_TEMPLATE,Error identifying template.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,637,INVALID_TEMPLATE_ID,Invalid Template ID.,Template,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Template ID/content
Jio,650,PREFERENCE_NOT_MATCHED,Destination is blocked by preference/DND rules.,Preference/DND,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,PROVIDER-DEPENDENT,Check DND/preference/consent
Jio,651,INVALID_PROMO_TIME,Promotional time restriction.,Preference/DND,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,PROVIDER-DEPENDENT,Check DND/preference/consent
Jio,652,SE_CATEGORY_BLOCK,Service/entity category blocked.,Preference/DND,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,PROVIDER-DEPENDENT,Check DND/preference/consent
Jio,660,CONSENT_FAILED,Consent validation failed.,Consent,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check DND/preference/consent
Jio,670,SCRUBBING_FAILED,DLT scrubbing failed.,Scrubbing,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,PROVIDER-DEPENDENT,Check DLT scrubbing/route
Vi,600,ENTITY_NOT_FOUND,No record found with Entity ID.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Vi,601,ENTITY_NOT_REGISTERED,Entity is not registered.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
Vi,602,ENTITY_INACTIVE,Entity is inactive.,Entity,DLR/Submit,Common DLT mapping,VERIFY WITH OPERATOR,NO,Check Entity/PE ID
